code,title,domain,themes,intent,severity,source
719,Cleans toxins and replaces them with new cells,health,vitality-depletion,"Listed in the source compilation for cleans toxins and replaces them with new cells. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
61 988 184 161,Clear Emotional Memory,health,vitality-depletion,"Listed in the source compilation for clear Emotional Memory. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
5189912,"Cold, Flu, Rhinitis",health,immune-resilience,"Listed in the source compilation for cold, Flu, Rhinitis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
1111012,Coma,health,vitality-depletion,"Listed in the source compilation for coma. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
5948981 819 47,Commitment,spiritual,transformation-pressure,Listed in the source compilation for commitment.,2,community
49871961914,Communicate with something or someone,spiritual,transformation-pressure,Listed in the source compilation for communicate with something or someone.,2,community
518716 319414,Conflict,protection,boundary-erosion,Listed in the source compilation for conflict.,2,community
12370744,Connection with the Creator's Light,spiritual,transformation-pressure,Listed in the source compilation for connection with the Creator's Light.,2,community
9874321,Coronary Blockage (of the heart),health,vitality-depletion,"Listed in the source compilation for coronary Blockage (of the heart). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
419 488 71,Create Favorable Circumstances,spiritual,transformation-pressure,Listed in the source compilation for create Favorable Circumstances.,2,community
491817 3194 48,Creativity,spiritual,transformation-pressure,Listed in the source compilation for creativity.,2,community
514 567319 518,Credor,spiritual,transformation-pressure,Listed in the source compilation for credor.,2,community
1258912,Critical health status in general,health,recovery-convalescence,"Listed in the source compilation for critical health status in general. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
48543211,Cystitis,health,vitality-depletion,"Listed in the source compilation for cystitis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
518548191,Decision,spiritual,transformation-pressure,Listed in the source compilation for decision.,2,community
8142351,Delirium,spiritual,transformation-pressure,Listed in the source compilation for delirium.,2,community
319618719814,Deposits entering your account,spiritual,transformation-pressure,Listed in the source compilation for deposits entering your account.,2,community
519514 319891,Depression,health,nervous-system-strain,"Listed in the source compilation for depression. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
559 3178890619,Determination,spiritual,transformation-pressure,Listed in the source compilation for determination.,2,community
47648676,Develop Love,love,attraction-magnetism,Listed in the source compilation for develop Love.,2,community
4818888,Diabetes Insipidus,health,chronic-pattern-relief,"Listed in the source compilation for diabetes Insipidus. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8819977,Diabetes Mellitus,health,chronic-pattern-relief,"Listed in the source compilation for diabetes Mellitus. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
5843218,Diarrhea,health,digestive-sensitivity,"Listed in the source compilation for diarrhea. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
489517 498 814,Difficulty,spiritual,transformation-pressure,Listed in the source compilation for difficulty.,2,community
1234895,Diseases of Vitamin Deficiencies,health,vitality-depletion,"Listed in the source compilation for diseases of Vitamin Deficiencies. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8888,Divine Protection,protection,boundary-erosion,Listed in the source compilation for divine Protection.,2,community
498712891319,Dor,spiritual,transformation-pressure,Listed in the source compilation for dor.,2,community
819 498 21931,Doubt / Indecision,spiritual,transformation-pressure,Listed in the source compilation for doubt / Indecision.,2,community
518517519814,Download Fever,health,immune-resilience,"Listed in the source compilation for download Fever. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
4812813,Eliminate chemotherapy side effects,health,vitality-depletion,"Listed in the source compilation for eliminate chemotherapy side effects. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
1823451,Endocrine and metabolic diseases,health,digestive-sensitivity,"Listed in the source compilation for endocrine and metabolic diseases. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
5893240,Enhanced Memory,career,recognition-delay,Listed in the source compilation for enhanced Memory.,2,community
598 718 889 888,Epidermis,health,vitality-depletion,"Listed in the source compilation for epidermis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
591398 712 889,Escape through disease,health,vitality-depletion,"Listed in the source compilation for escape through disease. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
519 7148,Everything is Possible,spiritual,transformation-pressure,Listed in the source compilation for everything is Possible.,2,community
918197185,Everything will be 100% / Everything has already gone right,spiritual,transformation-pressure,Listed in the source compilation for everything will be 100% / Everything has already gone right.,2,community
891 098 789 016,Excretory Duct of the Sweat Gland,health,hormonal-fluctuation,"Listed in the source compilation for excretory Duct of the Sweat Gland. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
598 888 998 617,Faith,spiritual,transformation-pressure,Listed in the source compilation for faith.,2,community
515889,Falling in love,love,attraction-magnetism,Listed in the source compilation for falling in love.,2,community
319 814 71978,Falsehood (lie) appears the truth,health,vitality-depletion,"Listed in the source compilation for falsehood (lie) appears the truth. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
285555901,Family Harmony,love,family-obligation,Listed in the source compilation for family Harmony.,2,community
516914 918591,Feeling of low self-esteem,spiritual,transformation-pressure,Listed in the source compilation for feeling of low self-esteem.,2,community
5821545,Feeling of pleasure (dopamine balance),spiritual,transformation-pressure,Listed in the source compilation for feeling of pleasure (dopamine balance).,2,community
777,Flight maneuver safety,protection,travel-safety,Listed in the source compilation for flight maneuver safety.,2,community
212585212,Focus for learning,health,vitality-depletion,"Listed in the source compilation for focus for learning. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8901 678 914 81,Friendship,love,attraction-magnetism,Listed in the source compilation for friendship.,2,community
5148385,Furuncle,spiritual,transformation-pressure,Listed in the source compilation for furuncle.,2,community
898071 318 42,Gagueira,spiritual,transformation-pressure,Listed in the source compilation for gagueira.,2,community
5485674,Gastritis,health,digestive-sensitivity,"Listed in the source compilation for gastritis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
97319819,Gather information for the Standard of problem,spiritual,transformation-pressure,Listed in the source compilation for gather information for the Standard of problem.,2,community
38649129871,General Hormone Balance,health,hormonal-fluctuation,"Listed in the source compilation for general Hormone Balance. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
219 648 317 918,General immune protection (immune system),health,immune-resilience,"Listed in the source compilation for general immune protection (immune system). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8214351,General Tumor Diseases (remove tumor),health,chronic-pattern-relief,"Listed in the source compilation for general Tumor Diseases (remove tumor). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
9274810494,Get Qualified Medical Assistance,health,vitality-depletion,"Listed in the source compilation for get Qualified Medical Assistance. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
319817318,Global Salvation and Harmonious Development,protection,external-hostility,Listed in the source compilation for global Salvation and Harmonious Development.,2,community
591 718 9181419,Golden Rule,spiritual,transformation-pressure,Listed in the source compilation for golden Rule.,2,community
77119784121,Hair Growth,spiritual,transformation-pressure,Listed in the source compilation for hair Growth.,2,community
491519619,Hair Loss,spiritual,transformation-pressure,Listed in the source compilation for hair Loss.,2,community
148721091,Harmonization of the future,protection,external-hostility,Listed in the source compilation for harmonization of the future.,2,community
14888948,Harmonization of the surrounding space,protection,external-hostility,Listed in the source compilation for harmonization of the surrounding space.,2,community
7819019425,Harmonize the Past,protection,external-hostility,Listed in the source compilation for harmonize the Past.,2,community
814 418 719,Harmony among family and friends,love,family-obligation,Listed in the source compilation for harmony among family and friends.,2,community
71042,Harmony of the present,protection,external-hostility,Listed in the source compilation for harmony of the present.,2,community
481 94,Healing,health,recovery-convalescence,"Listed in the source compilation for healing. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8145999,Heart Angina,health,vitality-depletion,"Listed in the source compilation for heart Angina. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8543214,Heart Asthma,health,immune-resilience,"Listed in the source compilation for heart Asthma. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8914325,Heart attack,health,vitality-depletion,"Listed in the source compilation for heart attack. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
1454210,Heart disease (ISCHEMIC HEART DISEASE),health,vitality-depletion,"Listed in the source compilation for heart disease (ISCHEMIC HEART DISEASE). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
741,Help / immediate solution,spiritual,transformation-pressure,Listed in the source compilation for help / immediate solution.,2,community
8145432,High Blood Pressure (Hypertension),health,vitality-depletion,"Listed in the source compilation for high Blood Pressure (Hypertension). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
31749318516,Hunger sensation,spiritual,transformation-pressure,Listed in the source compilation for hunger sensation.,2,community
519 488 598 719,Hyperhidrosis / Sweat Gland (excessive sweating),health,hormonal-fluctuation,"Listed in the source compilation for hyperhidrosis / Sweat Gland (excessive sweating). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
5679102,Hypertensive Crisis,health,vitality-depletion,"Listed in the source compilation for hypertensive Crisis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
498 9,I am “NREM”,spiritual,transformation-pressure,Listed in the source compilation for i am “NREM”.,2,community
318 41791844,important,spiritual,transformation-pressure,Listed in the source compilation for important.,2,community
471 88 91,Increase appetite,health,digestive-sensitivity,"Listed in the source compilation for increase appetite. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
598641718948,Independence / Autonomy,spiritual,transformation-pressure,Listed in the source compilation for independence / Autonomy.,2,community
5421427,Infections in general,health,immune-resilience,"Listed in the source compilation for infections in general. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
498064 317,Inferiority Complex,spiritual,transformation-pressure,Listed in the source compilation for inferiority Complex.,2,community
1001105010,Inner Peace,spiritual,transformation-pressure,Listed in the source compilation for inner Peace.,2,community
4748132148,Instantly stop the negative plan,protection,psychic-overwhelm,Listed in the source compilation for instantly stop the negative plan.,2,community
519314 819 4,Intention (will),spiritual,transformation-pressure,Listed in the source compilation for intention (will).,2,community
8123457,Intestinal Colic,health,digestive-sensitivity,"Listed in the source compilation for intestinal Colic. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
56481 4,Intestinal Disorders,health,digestive-sensitivity,"Listed in the source compilation for intestinal Disorders. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
498491817,Jealousy,protection,external-hostility,Listed in the source compilation for jealousy.,2,community
489714318 591,Jealousy,protection,external-hostility,Listed in the source compilation for jealousy.,2,community
218 494517601,Job,career,recognition-delay,Listed in the source compilation for job.,2,community
5421891,Joint Diseases,health,structural-strain,"Listed in the source compilation for joint Diseases. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8941254,Kidney and Urinary Tract Diseases - General,health,vitality-depletion,"Listed in the source compilation for kidney and Urinary Tract Diseases - General. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
48154219,Labyrinthitis,health,vitality-depletion,"Listed in the source compilation for labyrinthitis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
4548511,Laryngitis,health,immune-resilience,"Listed in the source compilation for laryngitis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
519371 818911,Learned Helplessness,health,vitality-depletion,"Listed in the source compilation for learned Helplessness. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
4817190 478,Legal Capacity,protection,legal-entanglement,Listed in the source compilation for legal Capacity.,2,community
5481347,Leukemia,health,chronic-pattern-relief,"Listed in the source compilation for leukemia. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
5986179184 91,Libido,spiritual,transformation-pressure,Listed in the source compilation for libido.,2,community
591617 88061,Loneliness,love,loneliness-isolation,Listed in the source compilation for loneliness.,2,community
4812412,Lose weight (obesity),health,vitality-depletion,"Listed in the source compilation for lose weight (obesity). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
471891472,"Lost people, animals or objects",spiritual,transformation-pressure,"Listed in the source compilation for lost people, animals or objects.",2,community
888 412 1289018,Love,love,attraction-magnetism,Listed in the source compilation for love.,2,community
519 418 319 818,Lung,health,immune-resilience,"Listed in the source compilation for lung. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
1235689,Malignant tumors in the area of the mouth and throat,health,immune-resilience,"Listed in the source compilation for malignant tumors in the area of the mouth and throat. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
519 614 319814,Medical Diagnosis,health,vitality-depletion,"Listed in the source compilation for medical Diagnosis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
489 712 819 48,Medo,spiritual,transformation-pressure,Listed in the source compilation for medo.,2,community
4851548,Menopause / Climacteric Neuroses,health,nervous-system-strain,"Listed in the source compilation for menopause / Climacteric Neuroses. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
319 614 89918,Moral sense of guilt,spiritual,transformation-pressure,Listed in the source compilation for moral sense of guilt.,2,community
498714,Motivation,spiritual,transformation-pressure,Listed in the source compilation for motivation.,2,community
314821069 711,Mutual Understanding,spiritual,transformation-pressure,Listed in the source compilation for mutual Understanding.,2,community
8432142,Myocarditis,health,vitality-depletion,"Listed in the source compilation for myocarditis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
519 448 9184,Negativism,spiritual,transformation-pressure,Listed in the source compilation for negativism.,2,community
48154211,"Neuroses (Eliminate, neutralize neuroses and anxieties)",health,nervous-system-strain,"Listed in the source compilation for neuroses (Eliminate, neutralize neuroses and anxieties). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
6848154211,Neurotic Fear,health,nervous-system-strain,"Listed in the source compilation for neurotic Fear. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8888184321,Normalization of weather conditions,spiritual,transformation-pressure,Listed in the source compilation for normalization of weather conditions.,2,community
887219454218,Objective vision,health,vitality-depletion,"Listed in the source compilation for objective vision. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
498 9171 81948,Optimism,spiritual,transformation-pressure,Listed in the source compilation for optimism.,2,community
918471 318 9421,Organization,spiritual,transformation-pressure,Listed in the source compilation for organization.,2,community
3194812 1961,Oxytocin Balance (love),love,attraction-magnetism,Listed in the source compilation for oxytocin Balance (love).,2,community
489314 81961,Panic syndrome,health,nervous-system-strain,"Listed in the source compilation for panic syndrome. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
706,Pardon,love,trust-repair,Listed in the source compilation for pardon.,2,community
548 498 319 317,Patient Resistance to Treatment,health,vitality-depletion,"Listed in the source compilation for patient Resistance to Treatment. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
1814321,Perfect Health,health,recovery-convalescence,"Listed in the source compilation for perfect Health. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
1858561,Pharyngitis,health,immune-resilience,"Listed in the source compilation for pharyngitis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
891 019 4918808,Phobias (fear/expectation of danger),health,vitality-depletion,"Listed in the source compilation for phobias (fear/expectation of danger). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
529 377 429 879,Plantar Fasciitis,health,vitality-depletion,"Listed in the source compilation for plantar Fasciitis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
5151421,Pneumonia in newborns,health,immune-resilience,"Listed in the source compilation for pneumonia in newborns. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
4814489,Pneumonia small outbreaks (microfocal pneumonia),health,immune-resilience,"Listed in the source compilation for pneumonia small outbreaks (microfocal pneumonia). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
1231115025,Presence of the Creator,spiritual,transformation-pressure,Listed in the source compilation for presence of the Creator.,2,community
71427321893,Prosperity / Financial Normalization,money,earning-expansion,Listed in the source compilation for prosperity / Financial Normalization.,2,community
51432144,Prostate,health,hormonal-fluctuation,"Listed in the source compilation for prostate. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
91781421,Protection against stray bullets,protection,external-hostility,Listed in the source compilation for protection against stray bullets.,2,community
71931,Protection for any situation/event,protection,boundary-erosion,Listed in the source compilation for protection for any situation/event.,2,community
4987 14 889057,Psychological Barrier,spiritual,transformation-pressure,Listed in the source compilation for psychological Barrier.,2,community
54321112,Pulmonary edema,health,vitality-depletion,"Listed in the source compilation for pulmonary edema. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
54321892,Pulmonary emphysema,spiritual,transformation-pressure,Listed in the source compilation for pulmonary emphysema.,2,community
5432111,Pulmonary Heart Congestion,health,vitality-depletion,"Listed in the source compilation for pulmonary Heart Congestion. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
516 718419 712,Purchase/Sale Contract of Real Estate (contract),money,contract-negotiation,Listed in the source compilation for purchase/Sale Contract of Real Estate (contract).,2,community
19751,Quick Health Recovery,health,recovery-convalescence,"Listed in the source compilation for quick Health Recovery. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
938179,Quick Help / First Aid,spiritual,transformation-pressure,Listed in the source compilation for quick Help / First Aid.,2,community
1414551,Quit smoking (tobacco use),health,vitality-depletion,"Listed in the source compilation for quit smoking (tobacco use). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
49819431947,Recover hair color,health,recovery-convalescence,"Listed in the source compilation for recover hair color. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
1895132,Reduction of the Effects of Traumatic Shocks,spiritual,transformation-pressure,Listed in the source compilation for reduction of the Effects of Traumatic Shocks.,2,community
419312819212,Regeneration of All Organs,health,recovery-convalescence,"Listed in the source compilation for regeneration of All Organs. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
548491698719,Resistance of the Unconscious,spiritual,transformation-pressure,Listed in the source compilation for resistance of the Unconscious.,2,community
25122004,Resolution of issue and problem,spiritual,transformation-pressure,Listed in the source compilation for resolution of issue and problem.,2,community
619 7,Restore the body during inflammation of the airways,health,inflammation-heat,"Listed in the source compilation for restore the body during inflammation of the airways. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
51951348988,Restore the Water Standard present in the Organism,health,recovery-convalescence,"Listed in the source compilation for restore the Water Standard present in the Organism. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
9489179189,Right to Medical Treatment,health,vitality-depletion,"Listed in the source compilation for right to Medical Treatment. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
54121381948,Sales / Sold production sold,money,earning-expansion,Listed in the source compilation for sales / Sold production sold.,2,community
4188888,Scorpion sting,health,vitality-depletion,"Listed in the source compilation for scorpion sting. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
1234512,Seborrhea (hair),spiritual,transformation-pressure,Listed in the source compilation for seborrhea (hair).,2,community
517 489719 841,Self-confidence,spiritual,transformation-pressure,Listed in the source compilation for self-confidence.,2,community
548 49 18917,Self-Dominion,spiritual,transformation-pressure,Listed in the source compilation for self-Dominion.,2,community
319612719849,Self-realization,spiritual,transformation-pressure,Listed in the source compilation for self-realization.,2,community
519 916,Sex / Sexual desire satisfaction,spiritual,transformation-pressure,Listed in the source compilation for sex / Sexual desire satisfaction.,2,community
598412688914,Shyness,spiritual,transformation-pressure,Listed in the source compilation for shyness.,2,community
1800124,Sinusitis,health,immune-resilience,"Listed in the source compilation for sinusitis. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8191111,Skin Burn,health,inflammation-heat,"Listed in the source compilation for skin Burn. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
841900 191 891,Sleep Apnea,health,sleep-disruption,"Listed in the source compilation for sleep Apnea. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
4114111,Snake bites,health,vitality-depletion,"Listed in the source compilation for snake bites. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
498 71,Soothing the cough,health,immune-resilience,"Listed in the source compilation for soothing the cough. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
51245424,Spasms and Cramps General,health,nervous-system-strain,"Listed in the source compilation for spasms and Cramps General. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
819471,Stress/ Tension,spiritual,transformation-pressure,Listed in the source compilation for stress/ Tension.,2,community
817219738,Talisman (protection and help),protection,boundary-erosion,Listed in the source compilation for talisman (protection and help).,2,community
9988771,The Digestion,health,digestive-sensitivity,"Listed in the source compilation for the Digestion. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
1851432,"Throat, nose and ear diseases (general)",health,immune-resilience,"Listed in the source compilation for throat, nose and ear diseases (general). Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
829 319 409 819,Thyroid,health,hormonal-fluctuation,"Listed in the source compilation for thyroid. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
219 318 219 471,Thyroid and parathyroid,health,hormonal-fluctuation,"Listed in the source compilation for thyroid and parathyroid. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
19712893,To return to the frequency of the Creator,spiritual,transformation-pressure,Listed in the source compilation for to return to the frequency of the Creator.,2,community
5182544,Toothache,health,vitality-depletion,"Listed in the source compilation for toothache. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
